21226	21289	36916
30897	40088	53432
21826	39550	51150
21533	45919	54855
37745	43548	64751
21373	36984	48282
8546	26547	30850
7974	21273	24081
16944	34305	43329
19712	35575	45734
40348	31848	55375
22246	28285	41516
22246	28453	41684
22246	30170	43401
67324	56927	97538
38600	22764	52460
57156	41567	74769
8240	14956	20128
15199	37217	44375
37848	28399	54289
15422	10866	23711
25230	31710	45275
29500	30705	50409
80402	62745	99146
82979	65314	102325
83651	65828	102940
15637	28108	36352
17838	31905	38070
17502	29679	36695
36888	37516	58356
65626	51312	89693
16818	30389	41260
13815	28872	34684
21363	33605	47493
36920	33772	55686
35242	21526	45401
30174	27210	45577
33556	31423	50408
59964	29958	72997
50465	25292	63972
27296	12247	34386
7025	22370	26163
34304	28866	51968
11859	19430	23921
28955	25958	42158
17054	29406	41019
34743	31207	49014
25222	21543	35211
38966	27550	55775
36793	18646	44822
18553	10112	21881
24533	11611	28907
9067	25209	29429
7037	26915	29667
7268	28978	32036
6303	56050	60743
21997	21220	36432
23385	28127	40963
19738	39363	46927
27506	34609	52842
28611	27803	45561
9557	15261	22609
5738	25251	28859
26062	27212	41720
125823	49717	143905
40190	65721	85306
59727	46000	80136
25212	39869	50114
18818	18995	29917
27547	22961	44591
29197	34184	49154
42435	43770	66712
9336	28774	34473
9321	22948	26078
9372	18370	23914
19489	25412	37165
6079	37198	38324
7968	9607	16133
43337	29364	55174
14431	18879	29351
3843	14542	16406
25732	27776	38340
10314	28802	34453
16701	18836	31089
33339	19990	46448
33204	19364	45485
23851	13062	32605
9125	13243	14997
42886	47153	70385
25998	27481	38292
20727	24693	35924
29775	27244	45458
30600	34198	49994
34957	44563	66959
16429	24763	31503
16429	24044	30784
6206	23853	26180
63161	45076	84176
102659	41922	111568
19968	40962	51263
21045	21081	34303
12535	30742	36351
55339	69844	92185
12536	48667	55207
12294	32572	38272
9680	29397	34796
82761	31512	92409
48291	20869	55941
21988	34162	47814
23856	5721	27026
52199	48997	79119
52199	48988	79110
37796	23896	54230
25422	23932	38939
24411	34941	48253
28017	26209	42239
25017	16499	35380
14688	25126	33598
60250	57708	88267
58663	56790	87094
10770	22455	28092
31762	33782	52942
26603	26344	42156
24905	37136	48262
4387	21163	25421
41276	29122	54514
45357	50791	72955
24278	38056	56007
26430	40648	50327
18856	30045	40223
37472	46018	64117
43693	39612	65379
10470	32182	37765
23846	32169	46898
23650	28484	41883
27957	33895	49181
8568	73768	76252
32831	24950	45656
89611	43593	105286
90583	53680	100300
25717	30091	40849
69372	45861	87287
59781	53065	82953
22957	35797	47278
42459	33250	56234
37126	27880	51981
634	51026	51169
43397	21140	54181
43298	38360	60572
33613	24647	47437
84639	72974	111031
17836	22061	33640
56279	55995	82194
56369	26768	69848
5849	28031	30469
2844	20210	20790
28198	23060	38920
28232	39181	56878
16384	21066	30573
50438	26743	59379
56796	26935	65220
38154	25151	46315
62782	10656	68830
37642	14038	47510
61606	48052	81131
13805	18524	31097
8926	35043	40001
38426	22381	49633
77440	43535	91644
71797	34608	81037
35505	33969	56274
21259	18156	35190
60600	57470	86794
3535	32236	34288
3535	32244	34296
15923	28987	37259
4054	32160	34638
28681	20278	39688
38180	24887	50321
47598	26975	62704
37503	34748	57063
58112	34236	69485
29707	42933	54760
