"" "P_sj_given_DemHistory_Frequency" "P_sj"
"0-5" 0.679423970438442 0.292314238811722
"5-10" 0.0696890960635413 0.0318311118526598
"10-15" 0.04205310712481 0.020775879796806
"15-20" 0.0298817946054237 0.0150463565736938
"20-25" 0.0229028646709212 0.0122101153806491
"25-30" 0.0183470489388867 0.0107720154884699
"30-35" 0.0151311313101207 0.00924360845567756
"35-40" 0.0127388704821079 0.00840076247232889
"40-45" 0.0108911963012863 0.0080850689841036
"45-50" 0.00942332207127572 0.0078029556254824
"50-55" 0.00823134310516382 0.00715248422522852
"55-60" 0.00724632740642051 0.00647146243862187
"60-65" 0.00642065109339551 0.00642542436350749
"65-70" 0.00572030277243307 0.0057512710236378
"70-75" 0.00512031304064453 0.00581073278502968
"75-80" 0.00460191807156862 0.00633103554850345
"80-85" 0.00415073300286017 0.00546580546450018
"85-90" 0.0037555378463765 0.0050578741872948
"90-95" 0.00340744816352656 0.00596381908154643
"95-100" 0.00309933487992775 0.00613636132849147
"100-105" 0.00282540976402124 0.00560105984555184
"105-110" 0.00258092368000384 0.00561408948976824
"110-115" 0.00236194323250249 0.00525316141051109
"115-120" 0.0021651829333994 0.00603185286631629
"120-125" 0.00198787736285166 0.00861707183118492
"125-130" 0.0018276825836312 0.00544416014725229
"130-135" 0.00168259925277792 0.0073770041106572
"135-140" 0.00155091203268487 0.00732444879795429
"140-145" 0.00143114139073075 0.00702803162400102
"145-150" 0.00132200491701295 0.00679212848353499
"150-155" 0.00122238602804037 0.00721732913217787
"155-160" 0.00113130845506293 0.00794557507367131
"160-165" 0.00104791530194259 0.0101874182914174
"165-170" 0.000971451741729412 0.0194352256078403
"170-175" 0.000901250632437955 0.0143912699336007
"175-180" 0.000836720491252385 0.0119558020961627
"180-185" 0.000777335386653588 0.011836139211549
"185-190" 0.000722626399882853 0.059150590913802
"190-195" 0.0006721743780016 0.0269048360065698
"195-200" 0.00062560375578613 0.0140017416832894
"200-205" 0.000582577266709183 0.0297860334385093
"205-210" 0.000542791397107334 0.0407754887571064
"210-215" 0.000505972464462934 0.0744980323919293
"215-220" 0.000471873222111396 0
"220-225" 0.000440269909827817 0
"225-230" 0.000410959683571632 0.0190328448133437
"230-235" 0.000383758368867393 0.0261703358776382
"235-240" 0.000358498491422665 0
"240-245" 0.000335027546049971 0.0440817067308643
"245-250" 0.000313206471095451 0.040498237545841
">250" 0.00477430406923574 0
