//This is an input file for Hudson's mssel stepftn.c program
10 N0: 50000
1
n:	522 s: 0.000000 age: 0.016255
0.010565	0.075000
0.010600	0.085000
0.010610	0.095000
0.010615	0.085000
0.010635	0.095000
0.010650	0.085000
0.010655	0.095000
0.010700	0.085000
0.010780	0.075000
0.010820	0.085000
0.010835	0.075000
0.010900	0.065000
0.010950	0.055000
0.011000	0.045000
0.011020	0.055000
0.011025	0.045000
0.011030	0.055000
0.011035	0.045000
0.011045	0.055000
0.011065	0.045000
0.011080	0.055000
0.011085	0.045000
0.011120	0.055000
0.011155	0.045000
0.011160	0.055000
0.011225	0.045000
0.011240	0.055000
0.011300	0.065000
0.011310	0.055000
0.011325	0.065000
0.011330	0.055000
0.011375	0.065000
0.011385	0.055000
0.011405	0.065000
0.011420	0.055000
0.011425	0.065000
0.011445	0.055000
0.011460	0.065000
0.011470	0.055000
0.011550	0.065000
0.011570	0.055000
0.011590	0.065000
0.011680	0.075000
0.011690	0.065000
0.011760	0.075000
0.011845	0.065000
0.011875	0.055000
0.011880	0.065000
0.011925	0.055000
0.012050	0.045000
0.012140	0.055000
0.012150	0.045000
0.012215	0.055000
0.012270	0.065000
0.012360	0.075000
0.012370	0.065000
0.012400	0.075000
0.012420	0.065000
0.012435	0.075000
0.012470	0.085000
0.012475	0.075000
0.012500	0.065000
0.012515	0.055000
0.012530	0.065000
0.012565	0.075000
0.012605	0.065000
0.012615	0.055000
0.012625	0.065000
0.012635	0.055000
0.012690	0.045000
0.012700	0.055000
0.012780	0.045000
0.012830	0.035000
0.012850	0.045000
0.012875	0.035000
0.012920	0.045000
0.012960	0.035000
0.012965	0.045000
0.012980	0.035000
0.013015	0.045000
0.013025	0.035000
0.013030	0.045000
0.013050	0.035000
0.013140	0.025000
0.013165	0.035000
0.013205	0.045000
0.013230	0.055000
0.013245	0.045000
0.013250	0.055000
0.013255	0.045000
0.013260	0.055000
0.013340	0.045000
0.013350	0.055000
0.013370	0.045000
0.013395	0.055000
0.013415	0.045000
0.013440	0.055000
0.013510	0.045000
0.013515	0.055000
0.013520	0.045000
0.013530	0.055000
0.013535	0.045000
0.013545	0.055000
0.013600	0.065000
0.013605	0.055000
0.013615	0.065000
0.013650	0.055000
0.013735	0.045000
0.013775	0.055000
0.013815	0.045000
0.013825	0.055000
0.013830	0.045000
0.013845	0.035000
0.013855	0.045000
0.013980	0.055000
0.014010	0.065000
0.014120	0.055000
0.014195	0.045000
0.014305	0.055000
0.014325	0.065000
0.014365	0.055000
0.014390	0.045000
0.014415	0.055000
0.014490	0.045000
0.014500	0.055000
0.014550	0.065000
0.014560	0.055000
0.014615	0.045000
0.014655	0.035000
0.014765	0.025000
0.014910	0.035000
0.014950	0.025000
0.014975	0.035000
0.015045	0.045000
0.015055	0.035000
0.015160	0.045000
0.015170	0.035000
0.015185	0.045000
0.015215	0.035000
0.015280	0.045000
0.015355	0.035000
0.015420	0.025000
0.015500	0.017500
0.015540	0.013750
0.015555	0.011250
0.015575	0.013750
0.015580	0.011250
0.015595	0.008500
0.015610	0.007500
0.015620	0.008500
0.015625	0.009500
0.015630	0.007500
0.015635	0.009500
0.015645	0.011250
0.015675	0.009500
0.015690	0.008500
0.015695	0.007500
0.015710	0.006500
0.015730	0.005500
0.015750	0.006500
0.015755	0.005500
0.015760	0.006500
0.015785	0.007500
0.015790	0.008500
0.015795	0.009500
0.015800	0.008500
0.015815	0.007500
0.015820	0.008500
0.015825	0.009500
0.015840	0.008500
0.015845	0.007500
0.015850	0.006500
0.015855	0.005500
0.015885	0.004500
0.015890	0.005500
0.015900	0.004500
0.015915	0.005500
0.015920	0.004500
0.015935	0.005500
0.015940	0.004500
0.015945	0.003500
0.015950	0.004500
0.015955	0.005500
0.015965	0.004500
0.015975	0.003500
0.015985	0.004500
0.015990	0.005500
0.016005	0.004500
0.016010	0.006500
0.016015	0.007500
0.016025	0.006500
0.016035	0.004500
0.016075	0.003500
0.016080	0.004500
0.016085	0.003500
0.016100	0.002500
0.016110	0.003500
0.016115	0.002500
0.016120	0.003500
0.016130	0.004500
0.016140	0.005500
0.016145	0.004500
0.016150	0.002500
0.016160	0.001500
0.016190	0.000500
0.016195	0.001500
0.016200	0.000500
0.016255	0.000000
n:	522 s: 0.000000 age: 0.016255
0.000000	0.011250
0.000025	0.009500
0.000045	0.008500
0.000055	0.009500
0.000085	0.008500
0.000155	0.009500
0.000165	0.011250
0.000220	0.013750
0.000225	0.011250
0.000320	0.009500
0.000350	0.011250
0.000365	0.009500
0.000425	0.008500
0.000430	0.009500
0.000445	0.011250
0.000490	0.013750
0.000495	0.011250
0.000530	0.013750
0.000535	0.011250
0.000540	0.013750
0.000550	0.011250
0.000575	0.009500
0.000580	0.011250
0.000680	0.013750
0.000690	0.017500
0.000725	0.013750
0.000740	0.011250
0.000745	0.017500
0.000750	0.013750
0.000755	0.017500
0.000760	0.013750
0.000780	0.017500
0.000885	0.013750
0.000890	0.011250
0.000895	0.013750
0.000915	0.017500
0.000940	0.013750
0.000945	0.017500
0.000970	0.013750
0.000995	0.017500
0.001035	0.025000
0.001040	0.017500
0.001055	0.025000
0.001060	0.017500
0.001065	0.025000
0.001115	0.017500
0.001125	0.025000
0.001165	0.017500
0.001215	0.013750
0.001230	0.011250
0.001240	0.013750
0.001250	0.017500
0.001265	0.025000
0.001300	0.035000
0.001310	0.025000
0.001450	0.017500
0.001525	0.025000
0.001530	0.017500
0.001555	0.025000
0.001560	0.017500
0.001595	0.013750
0.001605	0.011250
0.001610	0.013750
0.001630	0.017500
0.001640	0.013750
0.001675	0.017500
0.001680	0.013750
0.001685	0.017500
0.001700	0.013750
0.001710	0.017500
0.001720	0.013750
0.001725	0.011250
0.001730	0.017500
0.001785	0.025000
0.001820	0.017500
0.001895	0.013750
0.001920	0.017500
0.001930	0.013750
0.001940	0.017500
0.001960	0.025000
0.001985	0.017500
0.002030	0.025000
0.002160	0.035000
0.002280	0.025000
0.002315	0.035000
0.002320	0.025000
0.002370	0.035000
0.002380	0.025000
0.002390	0.035000
0.002490	0.025000
0.002515	0.035000
0.002600	0.025000
0.002605	0.035000
0.002705	0.025000
0.002785	0.035000
0.002790	0.025000
0.002795	0.035000
0.002925	0.025000
0.002930	0.035000
0.002955	0.025000
0.002975	0.035000
0.003025	0.025000
0.003045	0.035000
0.003050	0.025000
0.003130	0.017500
0.003165	0.013750
0.003180	0.011250
0.003190	0.009500
0.003195	0.011250
0.003210	0.008500
0.003220	0.007500
0.003225	0.011250
0.003245	0.013750
0.003250	0.017500
0.003280	0.013750
0.003285	0.017500
0.003355	0.025000
0.003405	0.017500
0.003440	0.013750
0.003460	0.017500
0.003465	0.013750
0.003475	0.017500
0.003505	0.013750
0.003570	0.017500
0.003600	0.025000
0.003620	0.017500
0.003660	0.025000
0.003665	0.017500
0.003705	0.025000
0.003710	0.017500
0.003735	0.013750
0.003775	0.011250
0.003790	0.009500
0.003805	0.011250
0.003820	0.013750
0.003840	0.017500
0.003845	0.013750
0.003865	0.011250
0.003875	0.009500
0.003880	0.011250
0.003925	0.013750
0.003940	0.017500
