// This is an input file for Hudson's mssel stepftn.c program
10 N0: 50000
1
n:	50 s: 0.000000 age: 0.00074
0.00547	0.085
0.00551	0.075
0.005555	0.065
0.005565	0.075
0.005605	0.065
0.005645	0.055
0.00567	0.065
0.005685	0.055
0.00569	0.065
0.005715	0.075
0.00577	0.065
0.0058	0.075
0.005845	0.085
0.005855	0.075
0.00586	0.085
0.00587	0.075
0.005875	0.085
0.00588	0.075
0.00589	0.085
0.005905	0.075
0.005925	0.085
0.00596	0.075
0.006	0.065
0.006015	0.075
0.006045	0.065
0.006055	0.075
0.00607	0.085
0.006075	0.075
0.00608	0.085
0.00609	0.075
0.006095	0.085
0.00613	0.095
0.006165	0.125
0.00624	0.095
0.006305	0.125
0.006315	0.095
0.00632	0.125
0.006325	0.095
0.00636	0.125
0.006595	0.095
0.00661	0.125
0.00701	0.095
0.00702	0.125
0.007025	0.095
0.007035	0.125
0.00707	0.095
0.007075	0.085
0.00708	0.095
0.007085	0.085
0.00712	0.075
0.00725	0.085
0.007275	0.075
0.00731	0.085
0.007345	0.075
0.00735	0.085
0.00736	0.075
0.00744	0.085
0.007455	0.075
0.00747	0.065
0.00748	0.075
0.007485	0.065
0.007495	0.075
0.0075	0.065
0.00752	0.075
0.00754	0.065
0.0076	0.055
0.00764	0.065
0.007645	0.055
0.007675	0.065
0.00771	0.075
0.007715	0.065
0.007815	0.075
0.00782	0.065
0.007825	0.075
0.00788	0.085
0.007885	0.075
0.0079	0.085
0.007905	0.075
0.00791	0.085
0.007915	0.075
0.007955	0.085
0.00796	0.075
0.007995	0.065
0.008	0.075
0.008015	0.065
0.008035	0.055
0.00804	0.065
0.00805	0.055
0.00806	0.065
0.008105	0.075
0.00811	0.065
0.008145	0.075
0.00822	0.085
0.008245	0.075
0.00827	0.085
0.008275	0.075
0.008305	0.085
0.00831	0.075
0.00834	0.065
0.00835	0.075
0.008355	0.065
0.008375	0.055
0.00842	0.065
0.008435	0.055
0.00844	0.065
0.008465	0.055
0.00847	0.065
0.008475	0.055
0.00848	0.065
0.008505	0.055
0.008515	0.065
0.00852	0.055
0.008545	0.045
0.00859	0.055
0.008595	0.045
0.00864	0.055
0.008645	0.045
0.00865	0.055
0.008795	0.065
0.00882	0.055
0.00885	0.065
0.00889	0.055
0.008895	0.065
0.008905	0.055
0.00891	0.065
0.00898	0.075
0.009	0.085
0.00901	0.075
0.00902	0.065
0.00908	0.055
0.009155	0.045
0.00916	0.055
0.00917	0.045
0.00918	0.055
0.00922	0.065
0.00923	0.055
0.009235	0.065
0.00924	0.055
0.00925	0.065
0.00926	0.055
0.009265	0.065
0.00927	0.055
0.009275	0.065
0.00928	0.055
0.009315	0.065
0.00933	0.055
0.009335	0.065
0.009355	0.055
0.00936	0.065
0.009385	0.055
0.00944	0.045
0.00945	0.055
0.009455	0.045
0.00946	0.055
0.009465	0.045
0.00947	0.055
0.009475	0.045
0.009485	0.055
0.00949	0.045
0.009495	0.055
0.009505	0.045
0.009565	0.035
0.009615	0.045
0.00962	0.035
0.00964	0.045
0.009645	0.035
0.00966	0.045
0.009665	0.035
0.00967	0.045
0.009745	0.035
0.009775	0.045
0.00978	0.035
0.009875	0.025
0.00989	0.035
0.00993	0.025
0.010005	0.0175
0.010045	0.025
0.01005	0.0175
0.010065	0.025
0.01007	0.0175
0.01008	0.025
0.01013	0.0175
0.010155	0.025
0.010205	0.0175
0.01022	0.025
0.010225	0.0175
0.010235	0.01375
0.010245	0.0175
0.01025	0.01375
