// This is an input file for Hudson's mssel stepftn.c program
10169 N0: 10000
1
n:	102 s: 0.000000 age: 0.011500
0.050250	0.025000
0.050675	0.017500
0.050900	0.025000
0.052500	0.035000
0.052525	0.025000
0.052775	0.017500
0.053050	0.025000
0.053475	0.017500
0.053975	0.025000
0.054000	0.017500
0.054025	0.025000
0.054075	0.017500
0.054100	0.025000
0.054975	0.035000
0.055050	0.025000
0.055275	0.035000
0.055350	0.025000
0.057475	0.035000
0.057550	0.025000
0.057650	0.035000
0.058425	0.025000
0.058500	0.035000
0.059675	0.025000
0.059900	0.035000
0.060250	0.045000
0.060450	0.035000
0.061450	0.025000
0.061950	0.017500
0.062075	0.025000
0.062475	0.017500
0.062725	0.013750
0.062875	0.017500
0.062950	0.013750
0.063000	0.011250
0.063125	0.008750
0.063225	0.011250
0.063250	0.008750
0.063500	0.006250
0.063700	0.008750
0.064025	0.006250
0.064575	0.004500
0.064600	0.003500
0.064650	0.002500
0.064775	0.001500
0.064800	0.002500
0.064825	0.001500
0.065700	0.000500
0.065725	0.001500
0.065950	0.000500
0.066325	0.000000
n:	241 s: 0.000000 age: 0.049950
0.000000	0.011250
0.000400	0.013750
0.000500	0.011250
0.000625	0.013750
0.000650	0.011250
0.000900	0.013750
0.001000	0.017500
0.001025	0.013750
0.001050	0.017500
0.001225	0.025000
0.001250	0.017500
0.002525	0.013750
0.002650	0.011250
0.002800	0.008750
0.003025	0.011250
0.003050	0.013750
0.003075	0.011250
0.003175	0.013750
0.003325	0.011250
0.003650	0.008750
0.003750	0.006250
0.004250	0.008750
0.004625	0.006250
0.004950	0.008750
0.005200	0.006250
0.005225	0.008750
0.005575	0.011250
0.005600	0.013750
0.005800	0.017500
0.005825	0.013750
0.005850	0.017500
0.006375	0.013750
0.006500	0.011250
0.006700	0.013750
0.007075	0.017500
0.007125	0.013750
0.007275	0.011250
0.007625	0.008750
0.007650	0.011250
0.007700	0.008750
0.007775	0.011250
0.007850	0.008750
0.007900	0.011250
0.008100	0.008750
0.008200	0.011250
0.008325	0.008750
0.008400	0.011250
0.008800	0.013750
0.008925	0.011250
0.009025	0.013750
0.009150	0.011250
0.009225	0.013750
0.009450	0.017500
0.010500	0.013750
0.010675	0.017500
0.010725	0.013750
0.010825	0.017500
0.011075	0.013750
0.011125	0.017500
0.011200	0.013750
0.011275	0.017500
0.011375	0.013750
0.011500	0.017500
0.011925	0.025000
0.012125	0.017500
0.012325	0.025000
0.013000	0.035000
0.013100	0.025000
0.014725	0.035000
0.014775	0.025000
0.014825	0.035000
0.014875	0.025000
0.015000	0.035000
0.015300	0.025000
0.015550	0.035000
0.016125	0.045000
0.016275	0.035000
0.016375	0.045000
0.016525	0.035000
0.017050	0.045000
0.017625	0.035000
0.018100	0.045000
0.018125	0.035000
0.018200	0.045000
0.018425	0.055000
0.019275	0.045000
0.019450	0.055000
0.019975	0.045000
0.020025	0.055000
0.020050	0.045000
0.020225	0.055000
0.020250	0.045000
0.020600	0.055000
0.020700	0.045000
0.021450	0.035000
0.021475	0.045000
0.022250	0.035000
0.022400	0.045000
0.022525	0.035000
0.022550	0.045000
0.022575	0.035000
0.022625	0.045000
0.022850	0.035000
0.022925	0.045000
0.023550	0.055000
0.023575	0.045000
0.023625	0.055000
0.024400	0.045000
0.024450	0.055000
0.025200	0.045000
0.025325	0.055000
0.025650	0.045000
0.025725	0.055000
0.025925	0.045000
0.025975	0.055000
0.026100	0.045000
0.026925	0.035000
0.027125	0.025000
0.027150	0.035000
0.027475	0.025000
0.028275	0.017500
0.028650	0.013750
0.028675	0.017500
0.028700	0.013750
0.028750	0.017500
0.029150	0.025000
0.029175	0.017500
0.029450	0.025000
0.029575	0.017500
0.029600	0.025000
0.029850	0.017500
0.030000	0.025000
0.030925	0.017500
0.030950	0.025000
0.031025	0.017500
0.031275	0.025000
0.031400	0.017500
0.031825	0.013750
0.031975	0.017500
0.032075	0.013750
0.032175	0.011250
0.032250	0.013750
0.032425	0.011250
0.032450	0.013750
0.032475	0.011250
0.032550	0.013750
0.032625	0.011250
0.032750	0.008750
0.032775	0.011250
0.032825	0.008750
0.032850	0.011250
0.032900	0.008750
0.032975	0.011250
0.033125	0.013750
0.033300	0.017500
0.033625	0.025000
0.035050	0.035000
0.035150	0.025000
0.035300	0.035000
0.035475	0.025000
0.035925	0.017500
0.035950	0.025000
0.036025	0.017500
0.036175	0.025000
0.037000	0.017500
0.037025	0.025000
0.037125	0.017500
0.037800	0.013750
0.037925	0.011250
0.038025	0.013750
0.038275	0.017500
0.038300	0.013750
0.038350	0.017500
0.038375	0.013750
0.038400	0.017500
0.038575	0.025000
0.038725	0.017500
0.038875	0.025000
0.039000	0.017500
0.039800	0.013750
0.040150	0.017500
0.040350	0.013750
0.040525	0.017500
0.040575	0.013750
0.040600	0.017500
0.040825	0.013750
0.041050	0.011250
0.041300	0.008750
0.041325	0.011250
0.041475	0.013750
0.041850	0.011250
0.041925	0.008750
0.042075	0.006250
0.042350	0.004500
0.042600	0.003500
0.042650	0.002500
0.042800	0.001500
0.042850	0.002500
0.042875	0.001500
0.043075	0.002500
0.043225	0.003500
0.043250	0.002500
0.043350	0.003500
0.043400	0.004500
0.043575	0.006250
0.043600	0.004500
0.043675	0.003500
0.043800	0.002500
0.044000	0.001500
0.044275	0.002500
0.044350	0.001500
0.044375	0.002500
0.044400	0.003500
0.044625	0.002500
0.044725	0.001500
0.044875	0.002500
0.045125	0.003500
0.045175	0.002500
0.045400	0.001500
0.045475	0.002500
0.045625	0.001500
0.046150	0.002500
0.046175	0.001500
0.046400	0.000500
0.046425	0.001500
0.046475	0.000500
0.046500	0.001500
0.046525	0.000500
0.046950	0.001500
0.047250	0.000500
0.047300	0.001500
0.047550	0.002500
0.048100	0.001500
0.048125	0.002500
0.048175	0.001500
0.048250	0.002500
0.048350	0.001500
0.048450	0.000500
0.048750	0.001500
0.048775	0.000500
0.049950	0.000000
n:	41 s: 0.000000 age: 0.007075
0.000000	0.011250
0.000050	0.008750
0.000275	0.006250
0.000425	0.008750
0.000550	0.011250
0.000600	0.008750
0.000625	0.011250
0.000700	0.013750
0.000850	0.011250
0.000925	0.008750
0.001100	0.011250
0.001200	0.008750
0.001550	0.011250
0.001575	0.008750
0.001675	0.011250
0.001950	0.008750
0.002175	0.006250
0.002450	0.008750
0.002525	0.006250
0.002700	0.004500
0.002750	0.006250
0.003025	0.008750
0.003075	0.006250
0.003400	0.008750
0.003450	0.006250
0.003725	0.008750
0.004050	0.011250
0.004175	0.008750
0.004325	0.011250
0.004375	0.008750
0.004650	0.006250
0.004925	0.008750
0.005075	0.006250
0.005275	0.008750
0.005300	0.006250
0.005625	0.004500
0.005800	0.003500
0.005950	0.002500
0.006100	0.001500
0.006475	0.000500
0.007075	0.000000
n:	1168 s: 0.000000 age: 0.501525
0.000000	0.008750
0.000075	0.011250
0.000125	0.008750
0.000150	0.011250
0.000250	0.013750
0.000550	0.017500
0.000875	0.013750
0.000975	0.017500
0.001200	0.013750
0.001500	0.011250
0.001575	0.013750
0.001725	0.011250
0.001900	0.013750
0.002000	0.017500
0.003375	0.013750
0.003450	0.011250
0.003650	0.008750
0.003675	0.011250
0.003725	0.008750
0.003775	0.011250
0.003950	0.008750
0.004000	0.011250
0.004025	0.008750
0.004550	0.011250
0.004750	0.013750
0.004775	0.011250
0.004825	0.013750
0.004950	0.017500
0.004975	0.013750
0.005075	0.017500
0.005100	0.013750
0.005200	0.017500
0.005225	0.013750
0.005425	0.011250
0.005500	0.013750
0.005575	0.011250
0.005650	0.013750
0.005700	0.017500
0.005950	0.013750
0.006025	0.011250
0.006225	0.008750
0.006350	0.011250
0.006375	0.008750
0.006725	0.006250
0.006975	0.008750
0.007075	0.006250
0.007100	0.008750
0.007575	0.011250
0.007600	0.008750
0.007750	0.006250
0.008225	0.008750
0.008275	0.006250
0.008550	0.008750
0.008725	0.011250
0.008775	0.008750
0.008800	0.011250
0.008825	0.008750
0.008925	0.006250
0.009375	0.004500
0.009400	0.006250
0.009650	0.008750
0.009675	0.006250
0.009700	0.008750
0.009925	0.006250
0.009975	0.008750
0.010000	0.006250
0.010325	0.004500
0.010525	0.006250
0.010575	0.004500
0.010875	0.003500
0.010900	0.004500
0.010975	0.003500
0.011000	0.004500
0.011050	0.003500
0.011450	0.002500
0.011525	0.003500
0.011600	0.004500
0.011750	0.003500
0.011800	0.004500
0.011825	0.003500
0.011900	0.004500
0.011925	0.003500
0.011950	0.002500
0.012075	0.003500
0.012200	0.004500
0.012250	0.003500
0.012400	0.004500
0.012550	0.003500
0.012650	0.004500
0.012775	0.006250
0.012900	0.004500
0.012950	0.006250
0.013300	0.008750
0.013350	0.006250
0.013500	0.004500
0.013525	0.006250
0.013600	0.004500
0.013700	0.006250
0.013975	0.008750
0.014050	0.006250
0.014375	0.008750
0.014475	0.011250
0.014675	0.013750
0.014750	0.011250
0.014800	0.013750
0.014825	0.017500
0.015125	0.013750
0.015225	0.011250
0.015300	0.013750
0.015375	0.011250
0.015450	0.008750
0.015475	0.011250
0.015600	0.008750
0.015675	0.011250
0.015700	0.008750
0.015725	0.011250
0.015850	0.008750
0.015875	0.011250
0.015900	0.008750
0.016125	0.011250
0.016150	0.008750
0.016175	0.011250
0.016375	0.013750
0.016425	0.017500
0.016900	0.025000
0.016950	0.017500
0.017250	0.013750
0.017450	0.011250
0.017650	0.013750
0.017725	0.011250
0.017750	0.013750
0.018000	0.011250
0.018050	0.013750
0.018150	0.011250
0.018200	0.013750
