726	200	66	42	94	432	726	200	66	21	78	469	
880	64	117	62	0	437	880	64	117	62	0	437	
911	108	12	64	0	465	911	108	0	74	0	467	
116	37	350	0	94	963	0	76	389	0	96	999	
732	44	0	5	189	590	762	65	0	5	161	567	
78	74	104	0	138	1166	39	110	68	33	138	1172	
674	239	81	198	21	347	675	224	103	190	21	347	
972	114	41	28	151	254	935	114	56	37	166	252	
475	105	182	33	18	747	475	105	182	5	43	750	
608	210	20	0	281	441	578	210	20	0	296	456	
39	0	0	0	114	1407	0	0	0	39	77	1444	
76	144	72	370	396	502	76	144	35	407	396	502	
0	540	35	34	16	935	0	504	0	70	0	986	
258	236	507	203	115	241	293	233	491	195	112	236	
76	179	323	24	294	664	76	179	312	32	294	667	
441	264	223	121	2	509	410	266	233	135	4	512	
188	68	65	297	0	942	113	102	67	286	0	992	
526	33	170	206	96	529	427	35	151	216	108	623	
399	0	0	147	53	961	399	20	18	147	52	924	
116	0	297	130	100	917	39	0	367	29	78	1047	
876	101	0	94	23	466	876	101	0	106	17	460	
553	336	232	44	109	286	553	336	232	36	65	338	
848	305	136	23	21	227	848	305	129	36	21	221	
39	0	111	305	33	1072	39	0	111	305	0	1105	
567	62	180	100	191	460	567	62	180	100	168	483	
111	215	0	36	253	945	111	213	0	0	253	983	
350	62	0	0	351	797	344	92	0	0	330	794	
913	47	45	2	10	543	913	64	52	0	12	519	
701	485	113	12	5	244	672	460	130	17	0	281	
251	189	38	424	15	643	251	189	0	421	16	683	
0	113	39	236	36	1136	39	113	38	229	36	1105	
220	520	242	5	28	545	220	487	253	22	27	551	
562	200	205	21	261	311	526	204	229	0	278	323	
152	38	425	178	178	589	188	38	376	208	173	577	
787	22	230	56	9	456	787	22	230	56	0	465	
78	38	75	73	371	925	0	0	39	38	450	1033	
113	896	166	22	29	334	113	871	174	22	28	352	
113	75	486	16	131	739	76	39	486	0	175	784	
0	77	72	175	314	922	0	39	74	209	285	953	
214	40	278	37	63	928	175	6	274	39	63	1003	
364	332	55	240	76	493	364	371	23	256	72	474	
258	360	60	0	55	827	258	234	0	31	0	1037	
152	70	736	122	4	476	113	70	757	122	0	498	
492	368	191	2	35	472	518	342	176	2	50	472	
603	293	12	0	143	509	603	273	0	0	119	565	
386	215	68	105	6	780	358	236	30	108	7	821	
204	356	0	185	101	714	204	351	0	167	115	723	
399	99	380	73	214	395	399	99	380	50	234	398	
183	643	19	214	13	488	183	643	0	242	13	479	
592	309	152	54	25	428	555	364	152	71	36	382	
403	398	132	38	0	589	364	417	139	13	0	627	
226	0	490	0	371	473	226	0	520	29	381	404	
39	113	38	507	182	681	39	113	0	500	210	698	
317	448	125	219	3	448	317	443	125	200	3	472	
338	567	28	127	185	315	368	541	27	127	185	312	
379	551	5	84	0	541	379	551	0	84	0	546	
345	160	12	145	121	777	345	159	12	110	124	810	
111	36	314	318	87	694	111	36	275	329	66	743	
490	201	42	13	45	769	389	178	81	48	72	792	
804	93	21	0	79	563	804	88	0	0	62	606	
273	39	174	322	56	696	273	39	174	297	56	721	
633	73	223	230	49	352	633	73	180	259	51	364	
439	217	37	0	252	615	400	223	0	0	300	637	
388	124	255	46	247	500	421	124	230	46	225	514	
39	38	0	150	36	1297	0	0	0	115	38	1407	
691	56	12	341	139	321	691	56	12	318	138	345	
0	76	0	72	107	1305	39	74	0	70	143	1234	
856	127	63	82	28	404	840	124	63	76	51	406	
535	427	48	116	120	314	535	427	44	137	115	302	
147	377	84	35	88	829	147	375	84	0	68	886	
572	234	231	26	83	414	602	234	221	26	83	394	
77	0	136	0	171	1176	77	0	136	0	177	1170	
902	140	99	9	44	366	902	140	99	9	38	372	
1115	14	29	2	7	393	1126	17	36	2	7	372	
0	188	414	321	156	481	39	184	341	323	179	494	
936	79	0	39	17	489	924	79	0	62	17	478	
769	0	75	67	93	556	769	0	70	56	67	598	
695	0	204	76	40	545	657	47	204	74	26	552	
252	165	443	25	114	561	252	165	443	25	75	600	
204	39	271	284	0	762	204	0	228	305	6	817	
1168	81	49	74	21	167	1168	88	61	68	21	154	
77	318	583	0	33	549	39	287	621	14	52	547	
548	483	44	18	36	431	512	514	55	18	15	446	
0	0	0	0	0	0	111	237	59	459	127	567	
438	116	85	115	110	696	458	110	43	152	99	698	
693	357	24	29	56	401	693	380	24	29	63	371	
0	0	0	0	0	0	432	122	235	19	135	617	
190	636	162	82	105	385	190	630	166	82	105	387	
586	0	398	0	105	471	573	0	396	0	65	526	
39	0	255	39	165	1062	0	39	248	76	167	1030	
222	202	99	173	2	862	222	234	67	167	0	870	
393	0	282	29	377	479	459	0	298	0	368	435	
248	368	108	153	274	409	209	413	93	117	296	432	
39	329	62	497	25	608	39	329	62	497	0	633	
186	399	69	150	27	729	186	399	85	150	15	725	
423	79	480	50	0	528	423	79	480	50	0	528	
39	38	72	243	189	979	39	38	72	243	246	922	
0	150	38	0	36	1336	39	186	107	0	35	1193	
291	200	33	31	84	921	291	168	33	0	90	978	
308	123	0	476	34	619	277	154	0	476	36	617	
