/scratch/midway2/diegoortega/PopExpansionMouse/OutputSmall.89.resampledsfs.txt
/scratch/midway2/diegoortega/PopExpansionMouse/OutputSmall.93.resampledsfs.txt
/scratch/midway2/diegoortega/PopExpansionMouse/OutputSmall.99.resampledsfs.txt
/scratch/midway2/diegoortega/PopExpansionMouse/OutputSmall.96.resampledsfs.txt
/scratch/midway2/diegoortega/PopExpansionMouse/OutputSmall.90.resampledsfs.txt
/scratch/midway2/diegoortega/PopExpansionMouse/OutputSmall.98.resampledsfs.txt
/scratch/midway2/diegoortega/PopExpansionMouse/OutputSmall.92.resampledsfs.txt
/scratch/midway2/diegoortega/PopExpansionMouse/OutputSmall.88.resampledsfs.txt
/scratch/midway2/diegoortega/PopExpansionMouse/OutputSmall.95.resampledsfs.txt
2       , -477.682    , array([ 0.165936   ,  588.543    ])
4       , -346.929    , array([ 0.415751   ,  897.787    ])
6       , -346.877    , array([ 0.415751   ,  898.686    ])
10      , -346.929    , array([ 0.415751   ,  897.789    ])
12      , -346.877    , array([ 0.415751   ,  898.688    ])
14      , -346.994    , array([ 0.415335   ,  897.834    ])
16      , -321.671    , array([ 0.390187   ,  12478.7    ])
18      , -321.705    , array([ 0.390187   ,  12491.2    ])
20      , -288.704    , array([ 0.237215   ,  42949.1    ])
26      , -288.704    , array([ 0.237215   ,  42949.1    ])
28      , -288.741    , array([ 0.237452   ,  42949.1    ])
30      , -288.745    , array([ 0.237452   ,  42992.1    ])
34      , -288.741    , array([ 0.237452   ,  42949.1    ])
36      , -288.745    , array([ 0.237452   ,  42992.1    ])
38      , -288.704    , array([ 0.237215   ,  42949.1    ])
44      , -288.704    , array([ 0.237215   ,  42949.1    ])
46      , -288.741    , array([ 0.237452   ,  42949.1    ])
48      , -288.745    , array([ 0.237452   ,  42992.1    ])
50      , -288.072    , array([ 0.230147   ,  47424.2    ])
56      , -288.072    , array([ 0.230147   ,  47424.2    ])
58      , -288.103    , array([ 0.230378   ,  47424.2    ])
60      , -288.107    , array([ 0.230378   ,  47471.6    ])
64      , -288.103    , array([ 0.230378   ,  47424.2    ])
66      , -288.107    , array([ 0.230378   ,  47471.6    ])
68      , -288.072    , array([ 0.230147   ,  47424.2    ])
74      , -288.072    , array([ 0.230147   ,  47424.2    ])
76      , -288.103    , array([ 0.230378   ,  47424.2    ])
78      , -288.107    , array([ 0.230378   ,  47471.6    ])
80      , -287.914    , array([ 0.228128   ,  48927.7    ])
82      , -287.842    , array([ 0.227032   ,  49946      ])
84      , -287.845    , array([ 0.227032   ,  49996      ])
88      , -287.842    , array([ 0.227032   ,  49946      ])
90      , -287.845    , array([ 0.227032   ,  49996      ])
92      , -287.814    , array([ 0.226805   ,  49946      ])
98      , -287.814    , array([ 0.226805   ,  49946      ])
104     , -287.814    , array([ 0.226805   ,  49946      ])
106     , -287.842    , array([ 0.227032   ,  49946      ])
108     , -287.845    , array([ 0.227032   ,  49996      ])
110     , -287.814    , array([ 0.226805   ,  49946      ])
112     , -287.842    , array([ 0.227032   ,  49946      ])
114     , -287.845    , array([ 0.227032   ,  49996      ])
116     , -287.814    , array([ 0.226805   ,  49946      ])
118     , -287.842    , array([ 0.227032   ,  49946      ])
120     , -287.845    , array([ 0.227032   ,  49996      ])
124     , -287.943    , array([ 0.228356   ,  48927.7    ])
126     , -287.946    , array([ 0.228356   ,  48976.6    ])
128     , -287.838    , array([ 0.227125   ,  49697.2    ])
132     , -287.819    , array([ 0.226875   ,  49891.5    ])
134     , -287.837    , array([ 0.226977   ,  49988.9    ])
138     , -287.84     , array([ 0.227006   ,  49966.3    ])
140     , -287.838    , array([ 0.226983   ,  49984.6    ])
[-288.1030446472754, array([2.30377553e-01, 4.74241624e+04])]
2       , -359.7      , array([ 0.26712    ,  1302.41    ])
4       , -368.67     , array([ 0.670323   ,  1979.92    ])
6       , -368.724    , array([ 0.670323   ,  1981.9     ])
8       , -316.995    , array([ 0.425456   ,  1610.17    ])
14      , -316.995    , array([ 0.425456   ,  1610.18    ])
16      , -316.988    , array([ 0.425881   ,  1610.18    ])
18      , -316.964    , array([ 0.425881   ,  1611.79    ])
20      , -293.177    , array([ 0.258178   ,  11010      ])
22      , -290.356    , array([ 0.250842   ,  19485.9    ])
24      , -290.356    , array([ 0.250842   ,  19505.4    ])
26      , -288.565    , array([ 0.206847   ,  42329.6    ])
32      , -288.565    , array([ 0.206847   ,  42329.6    ])
