REP	0
TRA	0.0028	0.0065
TRA	0.002825	0.0075
TRA	0.002875	0.0065
TRA	0.0029	0.0075
TRA	0.00295	0.0085
TRA	0.003	0.0095
TRA	0.00305	0.0085
TRA	0.003075	0.0075
TRA	0.0031	0.0085
TRA	0.003125	0.0075
TRA	0.00315	0.0085
TRA	0.0032	0.0075
TRA	0.003225	0.0065
TRA	0.003325	0.0075
TRA	0.00335	0.0065
TRA	0.003375	0.0075
TRA	0.003425	0.0085
TRA	0.00345	0.0075
TRA	0.003575	0.0065
TRA	0.003675	0.0055
TRA	0.0037	0.0065
TRA	0.0038	0.0055
TRA	0.003825	0.0045
TRA	0.00385	0.0055
TRA	0.003925	0.0065
TRA	0.004	0.0055
TRA	0.00405	0.0045
TRA	0.004075	0.0055
TRA	0.0041	0.0045
TRA	0.004125	0.0035
TRA	0.00415	0.0045
TRA	0.004275	0.0035
TRA	0.00445	0.0045
TRA	0.0045	0.0035
TRA	0.004525	0.0025
TRA	0.00455	0.0035
TRA	0.004575	0.0045
TRA	0.00465	0.0035
TRA	0.004675	0.0045
TRA	0.0047	0.0035
TRA	0.004725	0.0045
TRA	0.00475	0.0055
TRA	0.004775	0.0045
TRA	0.0048	0.0055
TRA	0.004825	0.0045
TRA	0.00485	0.0035
TRA	0.0049	0.0025
TRA	0.005	0.0015
TRA	0.005075	0.0025
TRA	0.0051	0.0015
TRA	0.005125	0.0025
TRA	0.0052	0.0015
TRA	0.00525	0.0025
TRA	0.005275	0.0015
TRA	0.005875	0.0025
TRA	0.00595	0.0015
TRA	0.0061	0.0005
TRA	0.00615	0.0015
TRA	0.0062	0.0005
TRA	0.0063	0.0015
TRA	0.0065	0.0025
TRA	0.006575	0.0015
TRA	0.00665	0.0005
TRA	0.007475	0.0015
TRA	0.007625	0.0005
TRA	0.00775	0.0015
TRA	0.00835	0.0025
TRA	0.0085	0.0015
TRA	0.00855	0.0025
TRA	0.008575	0.0015
TRA	0.008625	0.0005
TRA	0.00895		0
TOT	357
REP	3
TRA	0	0.0095
TRA	2.5e-05	0.01125
TRA	5e-05	0.0095
TRA	7.5e-05	0.0085
TRA	0.000125	0.0095
TRA	0.000175	0.01125
TRA	0.0004	0.01375
TRA	0.000475	0.01125
TRA	0.0005	0.01375
TRA	0.000525	0.01125
TRA	0.00055	0.0095
TRA	0.0006	0.0085
TRA	0.000675	0.0095
TRA	0.0007	0.01125
TRA	0.000775	0.01375
TRA	0.0008	0.01125
TRA	0.000825	0.01375
TRA	0.00095	0.0175
TRA	0.001	0.01375
TRA	0.001025	0.0175
TRA	0.001125	0.01375
TRA	0.00115	0.0175
TRA	0.001525	0.025
TRA	0.00155	0.0175
TRA	0.001925	0.01375
TRA	0.00205	0.0175
TRA	0.002075	0.01375
TRA	0.0022	0.0175
TRA	0.002375	0.01375
TRA	0.002525	0.0175
TRA	0.002625	0.025
TRA	0.002675	0.0175
TRA	0.0029	0.01375
TRA	0.002975	0.0175
TRA	0.00305	0.01375
TRA	0.003275	0.0175
TRA	0.00345	0.025
TRA	0.00365	0.0175
TRA	0.00375	0.01375
TRA	0.0038	0.0175
TRA	0.00415	0.01375
TRA	0.004175	0.0175
TRA	0.004275	0.01375
TRA	0.0043	0.0175
TRA	0.004325	0.01375
TRA	0.004475	0.01125
TRA	0.004525	0.01375
TRA	0.00455	0.01125
TRA	0.004575	0.01375
TRA	0.004725	0.0175
TRA	0.0052	0.01375
TRA	0.005225	0.0175
TRA	0.00525	0.01375
TRA	0.005275	0.0175
TRA	0.0054	0.01375
TRA	0.005525	0.01125
TRA	0.005625	0.01375
TRA	0.00565	0.01125
TRA	0.005775	0.0095
TRA	0.0058	0.01125
TRA	0.005825	0.0095
TRA	0.00585	0.01125
TRA	0.0059	0.0095
TRA	0.006025	0.01125
TRA	0.00605	0.0095
TRA	0.0061	0.01125
TRA	0.0065	0.0095
TRA	0.006525	0.01125
TRA	0.00655	0.0095
TRA	0.006575	0.0085
TRA	0.0066	0.0075
TRA	0.006725	0.0065
TRA	0.0068	0.0075
TRA	0.006875	0.0065
TRA	0.0069	0.0075
TRA	0.007025	0.0085
TRA	0.00705	0.0075
TRA	0.007125	0.0085
TRA	0.007225	0.0095
TRA	0.007275	0.01125
TRA	0.00735	0.0095
TRA	0.0074	0.01125
TRA	0.00745	0.0095
TRA	0.007525	0.0085
TRA	0.007675	0.0095
TRA	0.0077	0.01125
TRA	0.007775	0.0095
TRA	0.0078	0.01125
TRA	0.008025	0.0095
TRA	0.00815	0.01125
TRA	0.008225	0.01375
TRA	0.008275	0.01125
TRA	0.0083	0.01375
TRA	0.0084	0.0175
TRA	0.00845	0.01375
